ip,asn,asn_description,country,network_name
152.42.16.197,396956,"MLEC-ASN-1, US",,MLEC-2
50.124.59.215,5650,"FRONTIER-FRTR, US",,FRTR-LEGACY-FTR13
169.185.15.93,NA,NA,,CITICORP-B-BLK3
180.191.187.172,132199,"GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc., PH",PH,GBB-SJN-IP-POOL
163.211.115.112,17512,"JAL Japan Airlines Co.,Ltd., JP",JP,JAL
66.40.179.167,57976,"BLIZZARD, US",,BLIZZA-3
28.195.242.172,749,"DNIC-AS-00749, US",,DNIC-NET-028
116.209.134.96,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-HB
145.221.141.100,15625,"ING-AS Amsterdam, NL",NL,NL-ING-GROUP
49.251.141.93,9617,"ZAQ JCOM Co., Ltd., JP",JP,JCOM-NET
119.168.67.44,9824,"JTCL-JP-AS JCOM Co., Ltd., JP",JP,JTCL-JP
194.152.131.188,NA,NA,HU,ACE-EX3C
217.51.188.131,6805,"TDDE-ASN1, DE",DE,TEDE-LLU
128.143.230.200,225,"VIRGINIA-AS, US",,UNIVERSITY-OF-VIRGINIA
54.209.233.195,14618,"AMAZON-AES, US",,AMAZO-ZIAD4
199.210.236.27,721,"DNIC-ASBLK-00721-00726, US",,DNIC-NETBLK-199-208
4.228.66.207,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",,MSFT
107.54.97.117,NA,NA,GB,UK-MICROSOFT-20101110
38.39.57.184,174,"COGENT-174, US",,COGENT-A
217.173.93.105,19905,"SECURITYSERVICES, US",SA,SA-BAJ-20121106
169.76.222.11,NA,NA,,JMC
220.58.139.253,NA,NA,JP,BBTECH
122.239.208.222,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-ZJ-WZ
57.47.15.106,NA,NA,BE,SITA-SC-Infrastructure
168.186.237.27,NA,NA,AU,RACV
176.175.12.201,5410,"BOUYGTEL-ISP, FR",FR,BOUYGTEL
101.144.209.130,NA,NA,CN,CTTNET
156.151.9.210,1219,"NCUBE-OREGON-AS, US",,ORACLE-UCF
46.148.120.155,NA,NA,UA,UA-ATOMOHOST-20250125
149.172.139.103,3209,"VODANET International IP-Backbone of Vodafone, DE",DE,KABELBW-13
150.136.209.138,31898,"ORACLE-BMC-31898, US",,OC-195
193.168.0.131,3320,"DTAG Internet service provider operations, DE",DE,AugustStorck-Net
53.71.49.14,31399,"DAIMLER-AS ITTTN Global Network, DE",DE,MERCEDES-BENZ-NET1
163.78.122.172,NA,NA,FR,EDF-NET05g
218.123.141.249,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTECH
144.106.77.45,721,"DNIC-ASBLK-00721-00726, US",,ANSOC-RNET050
106.180.140.188,2516,"KDDI KDDI CORPORATION, JP",JP,KDDI-CIDR-BLK-JP
94.207.43.190,57187,"DATAMENA-ASN, AE",AE,DATAMENA-NET-1
188.123.45.141,29072,"RDTC-AS RDTC Autonomous System ISP at Novokuznetsk city, RU",RU,RDTC-NET
163.150.155.176,22315,"SBCSS, US",,SBCSS
165.102.58.133,NA,NA,JP,KHGNET
129.212.23.124,NA,NA,,ACL-99
27.232.137.29,4766,"KIXS-AS-KR Korea Telecom, KR",KR,KORNET-KR
93.24.124.7,15557,"LDCOMNET --- I3Dnet ---, FR",FR,FR-NCNUMERICABLE
207.49.126.249,NA,NA,,BRIGHTSPEED-BLOCK8
195.243.69.82,3320,"DTAG Internet service provider operations, DE",DE,DE-TELEKOM-971222
35.217.60.217,15169 19527,,,GOOGLE-CLOUD
108.24.158.176,701,"UUNET, US",,VIS-BLOCK
135.213.224.156,NA,NA,,ATT-135-197-219-B
178.239.223.62,51681,"DATIUM, ES",ES,ES-CARRIERENABLER-20100916-Block2
183.114.29.2,4766,"KIXS-AS-KR Korea Telecom, KR",KR,KORNET-KR
45.185.122.185,269096,"NORTH TELECOMUNICACOES EIRELI, BR",BR,420325
176.157.204.248,5410,"BOUYGTEL-ISP, FR",FR,BOUYGTEL
83.37.241.254,3352,"TELEFONICA_DE_ESPANA, ES",ES,RIMA
204.90.75.64,NA,NA,,EHFC
197.115.32.168,36947,"ALGTEL-AS, DZ",DZ,
160.242.20.205,33763,"Paratus, MU",AO,ORG-PTL5-AFRINIC
203.158.125.216,9903,"RIT-AS-AP Rajamangala Institute of Technology, TH",TH,RUOTTC-TH
